Title,Rank,Type,Episodes,Aired,Members,Page_url,image_url,Score
Mazinkaiser: Shitou! Ankoku Dai Shogun,3697,OVA,1,Jul 2003 - Jul 2003,4812,https://myanimelist.net/anime/2734/Mazinkaiser__Shitou_Ankoku_Dai_Shogun,https://cdn.myanimelist.net/r/100x140/images/anime/5/51795.jpg?s=50cf88876a8eec30fe703ff7bdd8ab0e,7.07
Keroro Gunsou Movie 1,2978,Movie,1,Mar 2006 - Mar 2006,6573,https://myanimelist.net/anime/2407/Keroro_Gunsou_Movie_1,https://cdn.myanimelist.net/r/100x140/images/anime/1638/98558.jpg?s=d9edd9fa758b0576146038e1728af9ca,7.21
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,4589,Movie,1,Dec 2020 - Dec 2020,82890,https://myanimelist.net/anime/38085/Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_1_-_Wandering__Agateram,https://cdn.myanimelist.net/r/100x140/images/anime/1535/103385.jpg?s=f149c6e3cc0172dc4f13b502aa988400,6.86
Monster Farm: Enbanseki no Himitsu,4901,TV,48,Apr 1999 - Mar 2000,43343,https://myanimelist.net/anime/1469/Monster_Farm__Enbanseki_no_Himitsu,https://cdn.myanimelist.net/r/100x140/images/anime/1044/113641.jpg?s=b5d826a8d207dae30d58dd41b8604fa1,6.79
Angel Beats! Another Epilogue,1896,Special,1,Dec 2010 - Dec 2010,239122,https://myanimelist.net/anime/10067/Angel_Beats_Another_Epilogue,https://cdn.myanimelist.net/r/100x140/images/anime/1399/131410.jpg?s=d7d14d15c201c0042ba6dec1c16b2dec,7.45
Feng Wei Ying Xiong,8341,ONA,13,Sep 2015 - Jul 2016,537,https://myanimelist.net/anime/33759/Feng_Wei_Ying_Xiong,https://cdn.myanimelist.net/r/100x140/images/anime/13/81274.jpg?s=6f88d9b46d153580f57389637aa9f6a8,6.11
Tairiki Tarou no Mucha Shuugyou,12410,Movie,1,1928 - 1928,1547,https://myanimelist.net/anime/4462/Tairiki_Tarou_no_Mucha_Shuugyou,https://cdn.myanimelist.net/r/100x140/images/anime/3/8533.jpg?s=896c8134ed45f519d0914856e0550a12,4.68
Guilty Crown: Kiseki - Reassortment,3560,Special,1,Jan 2012 - Jan 2012,38274,https://myanimelist.net/anime/12419/Guilty_Crown__Kiseki_-_Reassortment,https://cdn.myanimelist.net/r/100x140/images/anime/3/34931.jpg?s=cc04716549ce30273da462c73727e40a,7.1
Tsurikichi Sanpei,3387,TV,109,Apr 1980 - Jun 1982,5030,https://myanimelist.net/anime/3137/Tsurikichi_Sanpei,https://cdn.myanimelist.net/r/100x140/images/anime/1135/114713.jpg?s=7c714fa87285ecc07a4ce6759dea50f3,7.14
Great Teacher Onizuka,56,TV,43,Jun 1999 - Sep 2000,790979,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,https://cdn.myanimelist.net/r/100x140/images/anime/13/11460.jpg?s=8134d33ff056d87cfa65345aaec756f9,8.69
Majimoji Rurumo: Kanketsu-hen,2118,OVA,2,Jul 2019 - Jul 2019,8810,https://myanimelist.net/anime/38357/Majimoji_Rurumo__Kanketsu-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1375/109425.jpg?s=f314e3408264c5a70c0bd666b7b0876d,7.39
Teppen!!!!!!!!!!!!!!!,5428,TV,12,Jul 2022 - Sep 2022,18295,https://myanimelist.net/anime/50760/Teppen,https://cdn.myanimelist.net/r/100x140/images/anime/1327/124393.jpg?s=6e2ddefaffbea8359dada71f8b687577,6.69
Kiseichuu no Ichiya,11984,Movie,1,1972 - 1972,2623,https://myanimelist.net/anime/7025/Kiseichuu_no_Ichiya,https://cdn.myanimelist.net/r/100x140/images/anime/3/64693.jpg?s=e3f4a80286c1f9af2a60ed1cb4b1738f,5.03
Fengshen Bang,12237,Movie,1,Feb 1976 - Feb 1976,442,https://myanimelist.net/anime/35379/Fengshen_Bang,https://cdn.myanimelist.net/r/100x140/images/anime/7/85212.jpg?s=41ef6e35b9735a3c3d1f6891fa3c8736,4.84
Daikuu Maryuu Gaiking,4733,TV,44,Apr 1976 - Jan 1977,2508,https://myanimelist.net/anime/956/Daikuu_Maryuu_Gaiking,https://cdn.myanimelist.net/r/100x140/images/anime/1196/134634.jpg?s=313fc6b3cdc937c3237aceae11f30019,6.83
Tori no Uta,6993,OVA,1,Jan 2007 - Jan 2007,5308,https://myanimelist.net/anime/5819/Tori_no_Uta,https://cdn.myanimelist.net/r/100x140/images/anime/8/81195.jpg?s=cb853a8ff40abc91a2860809cdc00ec0,6.38
"Urawa no Usagi-chan: Natsu no Hi to, Bushitsu to, Tomodachi to",11203,Special,1,Oct 2015 - Oct 2015,2671,https://myanimelist.net/anime/31426/Urawa_no_Usagi-chan__Natsu_no_Hi_to_Bushitsu_to_Tomodachi_to,https://cdn.myanimelist.net/r/100x140/images/anime/9/75928.jpg?s=6598c6addf9c59b5dea33d8608457b13,5.38
Shihaisha no Tasogare,9719,OVA,1,Jan 1998 - Jan 1998,10450,https://myanimelist.net/anime/1245/Shihaisha_no_Tasogare,https://cdn.myanimelist.net/r/100x140/images/anime/5/4277.jpg?s=cbba3cb356e48da21cca4791841da09b,5.8
Bulg-eunmae,11038,Movie,1,Aug 1995 - Aug 1995,1274,https://myanimelist.net/anime/1776/Bulg-eunmae,https://cdn.myanimelist.net/r/100x140/images/anime/12/11531.jpg?s=398baaedf4f8acc19723ba1d96d5990f,5.43
Ginga Tetsudou no Yoru,2289,Movie,1,Jul 1985 - Jul 1985,24435,https://myanimelist.net/anime/1441/Ginga_Tetsudou_no_Yoru,https://cdn.myanimelist.net/r/100x140/images/anime/1694/120347.jpg?s=2e9c3b4ff09289ddf575f9f275397c4d,7.35
GA: Geijutsuka Art Design Class,3351,TV,12,Jul 2009 - Sep 2009,19894,https://myanimelist.net/anime/5670/GA__Geijutsuka_Art_Design_Class,https://cdn.myanimelist.net/r/100x140/images/anime/7/56975.jpg?s=e62dbaf3ed0b3ae1164838b82d5934f7,7.14
Tensei Oujo to Tensai Reijou no Mahou Kakumei,1690,TV,12,Jan 2023 - Mar 2023,157566,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei,https://cdn.myanimelist.net/r/100x140/images/anime/1053/129004.jpg?s=6bb6f7663feb2fdbb2453885e3360262,7.51
"Boku no Imouto wa ""Osaka Okan""",9967,TV,12,Dec 2012 - Mar 2013,19188,https://myanimelist.net/anime/16405/Boku_no_Imouto_wa_Osaka_Okan,https://cdn.myanimelist.net/r/100x140/images/anime/12/45352.jpg?s=47814eec2fca3484e9d1ac0bd5e1be3e,5.74
Ze Tian Ji 2nd Season,4433,ONA,12,Jul 2016 - Oct 2016,3645,https://myanimelist.net/anime/37184/Ze_Tian_Ji_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1592/90238.jpg?s=63cd86eb4c7323b6ebfdad8f81bc834d,6.9
Wo de Tian Jie Nu You,6609,ONA,15,Sep 2017 - Jan 2018,35691,https://myanimelist.net/anime/36455/Wo_de_Tian_Jie_Nu_You,https://cdn.myanimelist.net/r/100x140/images/anime/11/88003.jpg?s=4dd313f21220897eb6d7820fbc6b1c0f,6.46
Naruto: Shippuuden Movie 4 - The Lost Tower,2001,Movie,1,Jul 2010 - Jul 2010,245794,https://myanimelist.net/anime/8246/Naruto__Shippuuden_Movie_4_-_The_Lost_Tower,https://cdn.myanimelist.net/r/100x140/images/anime/1479/116734.jpg?s=b1fe4a0d48065afa7dd015530e08ec4f,7.42
Denshin Denrei Denwa,11849,Movie,1,1931 - 1931,432,https://myanimelist.net/anime/35409/Denshin_Denrei_Denwa,https://cdn.myanimelist.net/r/100x140/images/anime/5/85274.jpg?s=b38a0d8d096aa5e4229f6fb8bbf2e6f0,5.1
Meng Ta: Xue Mi Cheng,9482,ONA,13,Jun 2018 - Aug 2018,855,https://myanimelist.net/anime/38688/Meng_Ta__Xue_Mi_Cheng,https://cdn.myanimelist.net/r/100x140/images/anime/1920/96262.jpg?s=b3689d275b1e94ebb24910a415838e65,5.86
Rainbow: Nisha Rokubou no Shichinin,134,TV,26,Apr 2010 - Sep 2010,381781,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,https://cdn.myanimelist.net/r/100x140/images/anime/9/72697.jpg?s=76f7fb906596b6afd179488a6ab62d69,8.48
Detective Conan: Let's Experience the Jomon Period!,9505,OVA,1,Jun 1999 - Jun 1999,2177,https://myanimelist.net/anime/33148/Detective_Conan__Lets_Experience_the_Jomon_Period,https://cdn.myanimelist.net/r/100x140/images/anime/13/81492.jpg?s=e5006e3d1f35037a707b706d5b3fdf76,5.86
BNA,2283,TV,12,Apr 2020 - Jun 2020,348670,https://myanimelist.net/anime/40060/BNA,https://cdn.myanimelist.net/r/100x140/images/anime/1139/106986.jpg?s=5765400ce820f6c59353c9b85011c518,7.35
Eyeshield 21: Maboroshi no Golden Bowl,5856,Special,1,Aug 2004 - Aug 2004,8626,https://myanimelist.net/anime/1317/Eyeshield_21__Maboroshi_no_Golden_Bowl,https://cdn.myanimelist.net/r/100x140/images/anime/6/6087.jpg?s=8871af4bbb3d095cc0310f3dba5c2cf5,6.6
Gasshin Sentai Mechander Robo,9797,TV,35,Mar 1977 - Dec 1977,1031,https://myanimelist.net/anime/3294/Gasshin_Sentai_Mechander_Robo,https://cdn.myanimelist.net/r/100x140/images/anime/1888/132396.jpg?s=97f83e4773e616cd03f26ff5949832d0,5.78
3-nen D-gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road,10979,Movie,1,Jul 2017 - Jul 2017,797,https://myanimelist.net/anime/35070/3-nen_D-gumi_Glass_no_Kamen__Tobidase_Watashitachi_no_Victory_Road,https://cdn.myanimelist.net/r/100x140/images/anime/9/85972.jpg?s=44b64f9fcc1612f5b6b1755a98efba55,5.45
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,304,TV,25,Oct 2016 - Apr 2017,136332,https://myanimelist.net/anime/33051/Kidou_Senshi_Gundam__Tekketsu_no_Orphans_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/6/80899.jpg?s=0c5f59539a1c3470658bf70ba36b4776,8.23
Megane-bu!,7653,TV,12,Oct 2013 - Dec 2013,30187,https://myanimelist.net/anime/19257/Megane-bu,https://cdn.myanimelist.net/r/100x140/images/anime/8/56139.jpg?s=fa7700c7c6dfa917c907391e4223bda2,6.25
Boku dake ga Inai Machi,234,TV,12,Jan 2016 - Mar 2016,2002023,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,https://cdn.myanimelist.net/r/100x140/images/anime/10/77957.jpg?s=1d945ebe55885ddb8878a3c61a1e1673,8.31
Blue Thermal,5146,Movie,1,Mar 2022 - Mar 2022,10782,https://myanimelist.net/anime/49665/Blue_Thermal,https://cdn.myanimelist.net/r/100x140/images/anime/1459/120217.jpg?s=91b7c62270580deb15fa43cebd36ca7f,6.74
Superflat Monogram,6677,Special,1,2003 - 2003,7879,https://myanimelist.net/anime/2290/Superflat_Monogram,https://cdn.myanimelist.net/r/100x140/images/anime/10/23729.jpg?s=5eac6cfd21c7bcbf669f7a5f57088fe2,6.44
Bounen no Xamdou,1279,ONA,26,Jul 2008 - Feb 2009,138690,https://myanimelist.net/anime/4177/Bounen_no_Xamdou,https://cdn.myanimelist.net/r/100x140/images/anime/2/23189.jpg?s=e49659d82e3f749787db3b2b6b8b36ac,7.64
Re:Zero kara Hajimeru Break Time,5651,Special,11,Apr 2016 - Jun 2016,72431,https://myanimelist.net/anime/33142/Re_Zero_kara_Hajimeru_Break_Time,https://cdn.myanimelist.net/r/100x140/images/anime/8/81258.jpg?s=a9df5baaa9dbfb4578fb713e75ba984d,6.64
Gintama.: Shirogane no Tamashii-hen,30,TV,12,Jan 2018 - Mar 2018,201200,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,https://cdn.myanimelist.net/r/100x140/images/anime/12/89603.jpg?s=d1ae6c96378fe82ecb9481705060774c,8.81
Senpai ga Uzai Kouhai no Hanashi,1380,TV,12,Oct 2021 - Dec 2021,309560,https://myanimelist.net/anime/42351/Senpai_ga_Uzai_Kouhai_no_Hanashi,https://cdn.myanimelist.net/r/100x140/images/anime/1055/118890.jpg?s=0d3270b0b5dd64c4baed3929cea5709a,7.61
Inu ni Nattara Suki na Hito ni Hirowareta.,11846,TV,12,Jan 2023 - Mar 2023,100718,https://myanimelist.net/anime/51265/Inu_ni_Nattara_Suki_na_Hito_ni_Hirowareta,https://cdn.myanimelist.net/r/100x140/images/anime/1832/132333.jpg?s=d226761bf094ed3de6481d391272aab8,5.11
Ninkuu (Movie),8682,Movie,1,Jul 1995 - Jul 1995,1778,https://myanimelist.net/anime/2851/Ninkuu_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/1989/127433.jpg?s=722d9a118e130c52cc1ceabd4cb415b0,6.04
Kaitei Choutokkyuu: Marine Express,7233,Special,1,Aug 1979 - Aug 1979,1553,https://myanimelist.net/anime/3175/Kaitei_Choutokkyuu__Marine_Express,https://cdn.myanimelist.net/r/100x140/images/anime/6/56819.jpg?s=8c2e5e397698d548f67d40f534aca247,6.34
Wena Wrist,11772,Special,1,Jan 2020 - Jan 2020,450,https://myanimelist.net/anime/41192/Wena_Wrist,https://cdn.myanimelist.net/r/100x140/images/anime/1044/105740.jpg?s=d07572984ef1c439f4d4721c49c64b68,5.14
Deca-Dence,2202,TV,12,Jul 2020 - Sep 2020,290224,https://myanimelist.net/anime/40056/Deca-Dence,https://cdn.myanimelist.net/r/100x140/images/anime/1787/132772.jpg?s=03dc1e25199dcf041bb756b52699816c,7.37
Jiu Tian Xuan Di Jue,5556,ONA,40,Aug 2021 - Dec 2021,1722,https://myanimelist.net/anime/49873/Jiu_Tian_Xuan_Di_Jue,https://cdn.myanimelist.net/r/100x140/images/anime/1880/117911.jpg?s=920f059623f759d8a7e6ab2be8eeb556,6.66
Chousoku Henkei Gyrozetter,6765,TV,51,Oct 2012 - Sep 2013,5444,https://myanimelist.net/anime/14989/Chousoku_Henkei_Gyrozetter,https://cdn.myanimelist.net/r/100x140/images/anime/9/41937.jpg?s=385c755ac1be47e09bd0510aa0ad728a,6.43
Yami Shibai,4023,TV,13,Jul 2013 - Sep 2013,104537,https://myanimelist.net/anime/19383/Yami_Shibai,https://cdn.myanimelist.net/r/100x140/images/anime/11/51995.jpg?s=201517f9c9fea596c65bab80a587c0db,7.0
Gunslinger Stratos The Animation,8651,TV,12,Apr 2015 - Jun 2015,71563,https://myanimelist.net/anime/28791/Gunslinger_Stratos_The_Animation,https://cdn.myanimelist.net/r/100x140/images/anime/2/73120.jpg?s=8d26b0233b95b123f4d8c2dd6663afcb,6.05
Mugen no Ryvius,1986,TV,26,Oct 1999 - Mar 2000,43227,https://myanimelist.net/anime/593/Mugen_no_Ryvius,https://cdn.myanimelist.net/r/100x140/images/anime/3/16734.jpg?s=6dc22654b2c44fc3df8c7129b3eafbf9,7.43
Strange Dawn,7341,TV,13,Jul 2000 - Sep 2000,5554,https://myanimelist.net/anime/171/Strange_Dawn,https://cdn.myanimelist.net/r/100x140/images/anime/12/74782.jpg?s=2953a1d603d3f204c7e9e52f4d42938e,6.32
Nanaraki: Seven Lucky Gods,12175,ONA,12,Apr 2022 - Dec 2022,435,https://myanimelist.net/anime/51766/Nanaraki__Seven_Lucky_Gods,https://cdn.myanimelist.net/r/100x140/images/anime/1252/123641.jpg?s=81daa2970611e5b87f9422920d1ee1a8,4.89
Yesterday wo Utatte: Haishin-ban Episode,5740,ONA,6,Apr 2020 - Jun 2020,22526,https://myanimelist.net/anime/41660/Yesterday_wo_Utatte__Haishin-ban_Episode,https://cdn.myanimelist.net/r/100x140/images/anime/1919/107275.jpg?s=ec10869eb64f1af055625eb085140484,6.63
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,809,Movie,1,Mar 2014 - Mar 2014,64883,https://myanimelist.net/anime/20371/Sekaiichi_Hatsukoi_Movie__Yokozawa_Takafumi_no_Baai,https://cdn.myanimelist.net/r/100x140/images/anime/11/65927.jpg?s=42788b883fea1600ca1e0ac0ad7eb1a7,7.86
Lovedol: Lovely Idol OVA,9085,OVA,1,Mar 2007 - Mar 2007,2043,https://myanimelist.net/anime/6227/Lovedol__Lovely_Idol_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/12/65169.jpg?s=2a68c94f86861b0e174c7e73de15a06a,5.95
Heybot!,9322,TV,50,Sep 2016 - Sep 2017,2304,https://myanimelist.net/anime/33434/Heybot,https://cdn.myanimelist.net/r/100x140/images/anime/12/82258.jpg?s=ac6fd68f9e46bcebec4b7a617b644746,5.9
Tales of the Abyss,2619,TV,26,Oct 2008 - Mar 2009,121160,https://myanimelist.net/anime/4884/Tales_of_the_Abyss,https://cdn.myanimelist.net/r/100x140/images/anime/8/21243.jpg?s=b78777b6fe540628d21747f1f91b76be,7.28
Lemon Angel Project,6229,TV,13,Jan 2006 - Mar 2006,8353,https://myanimelist.net/anime/671/Lemon_Angel_Project,https://cdn.myanimelist.net/r/100x140/images/anime/5/36417.jpg?s=8016b66d8edd131c49b1096d2275ecbc,6.53
Macross Fufonfia Specials,11101,Special,3,Dec 2013 - Dec 2013,1095,https://myanimelist.net/anime/28809/Macross_Fufonfia_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/3/69531.jpg?s=1c051a3686f9634735d7a91eeee2f115,5.42
Gifuu Doudou!!: Kanetsugu to Keiji,6792,TV,25,Jul 2013 - Dec 2013,7966,https://myanimelist.net/anime/18771/Gifuu_Doudou__Kanetsugu_to_Keiji,https://cdn.myanimelist.net/r/100x140/images/anime/5/51427.jpg?s=bcf04b1802ff72e9a15c645bf6ce530d,6.42
Lupin III: $1 Money Wars,3513,Special,1,Jul 2000 - Jul 2000,7082,https://myanimelist.net/anime/1422/Lupin_III__1_Money_Wars,https://cdn.myanimelist.net/r/100x140/images/anime/1555/134189.jpg?s=c11833ac45c42ae72e97bd65c57d78f6,7.11
Sakigake!! Otokojuku Movie,5929,Movie,1,Jul 1988 - Jul 1988,2673,https://myanimelist.net/anime/4031/Sakigake_Otokojuku_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/1672/94168.jpg?s=a2a58469de6e789466e830757e8d7578,6.59
Deltora Quest,3680,TV,65,Jan 2007 - Mar 2008,28515,https://myanimelist.net/anime/1826/Deltora_Quest,https://cdn.myanimelist.net/r/100x140/images/anime/12/88164.jpg?s=58fbdb22f171259e2893b1d5b983b5ab,7.07
Maze☆Bakunetsu Jikuu: Hot Springs,8743,Special,1,1998 - 1998,1259,https://myanimelist.net/anime/3884/Maze☆Bakunetsu_Jikuu__Hot_Springs,https://cdn.myanimelist.net/r/100x140/images/anime/7/6943.jpg?s=9d88fbe6e8049c432041b35f761eebcf,6.03
Orange: Mirai,1877,Movie,1,Nov 2016 - Nov 2016,130912,https://myanimelist.net/anime/34136/Orange__Mirai,https://cdn.myanimelist.net/r/100x140/images/anime/10/82129.jpg?s=db72c2515fd41ed9986ecb558ff32f94,7.45
Starmyu OVA,3443,OVA,2,Jul 2016 - Sep 2016,7168,https://myanimelist.net/anime/33033/Starmyu_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/8/80195.jpg?s=6141ebf6cc177b5ad30c9c837e5acef4,7.13
Kaguya-hime no Monogatari,348,Movie,1,Nov 2013 - Nov 2013,217500,https://myanimelist.net/anime/16664/Kaguya-hime_no_Monogatari,https://cdn.myanimelist.net/r/100x140/images/anime/1935/93606.jpg?s=9b2842615ca45b1dd051e5bcae798ee3,8.2
Ze Tian Ji,5005,ONA,13,Jul 2015 - Dec 2015,8041,https://myanimelist.net/anime/31838/Ze_Tian_Ji,https://cdn.myanimelist.net/r/100x140/images/anime/3/79002.jpg?s=847b061d8a4a9ba3f710b9de24859f88,6.77
Muka Muka Paradise,4219,TV,51,Sep 1993 - Aug 1994,2747,https://myanimelist.net/anime/4086/Muka_Muka_Paradise,https://cdn.myanimelist.net/r/100x140/images/anime/1388/99407.jpg?s=6544ebbc8173ebf2d53cf236725491fb,6.95
Yokoyama Mitsuteru Sangokushi,2467,TV,47,Oct 1991 - Sep 1992,6097,https://myanimelist.net/anime/970/Yokoyama_Mitsuteru_Sangokushi,https://cdn.myanimelist.net/r/100x140/images/anime/9/76348.jpg?s=b235cea7d5699b25ab36add404e468cc,7.32
Adachi to Shimamura,3546,TV,12,Oct 2020 - Dec 2020,181300,https://myanimelist.net/anime/39790/Adachi_to_Shimamura,https://cdn.myanimelist.net/r/100x140/images/anime/1649/109056.jpg?s=04a58c5a80241bfa782d4cbfd611b7e1,7.1
Joshiraku OVA,2163,OVA,1,Feb 2013 - Feb 2013,22361,https://myanimelist.net/anime/15591/Joshiraku_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/8/50549.jpg?s=6ec554435fbc51c67fc60fa6c7b28489,7.38
Dai Mahou Touge,4270,OVA,4,Mar 2006 - Mar 2007,31946,https://myanimelist.net/anime/933/Dai_Mahou_Touge,https://cdn.myanimelist.net/r/100x140/images/anime/1349/103321.jpg?s=c027868b901e0964369134b55f8b506a,6.93
"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de Arimasu!!",3853,Movie,1,Feb 2010 - Feb 2010,3583,https://myanimelist.net/anime/8134/Keroro_Gunsou_Movie_5__Tanjou_Kyuukyoku_Keroro_Kiseki_no_Jikuu-jima_de_Arimasu,https://cdn.myanimelist.net/r/100x140/images/anime/1526/98562.jpg?s=2f2ea9ca89952542f024fc935e75a2d1,7.03
Somali to Mori no Kamisama,886,TV,12,Jan 2020 - Mar 2020,278240,https://myanimelist.net/anime/39575/Somali_to_Mori_no_Kamisama,https://cdn.myanimelist.net/r/100x140/images/anime/1938/102796.jpg?s=ab67d3e6f52a25f309d9df618b028ac6,7.82
"Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?",3462,Special,1,Aug 2016 - Aug 2016,6656,https://myanimelist.net/anime/33491/Shounen_Maid__Onna_wa_Dokyou_Otoko_wa_Aikyou,https://cdn.myanimelist.net/r/100x140/images/anime/1158/100286.jpg?s=1e3fdd6a1f332de5217cc7573d2316bf,7.12
Nandaka Velonica,8953,TV,10,Mar 2014 - Mar 2014,1351,https://myanimelist.net/anime/22381/Nandaka_Velonica,https://cdn.myanimelist.net/r/100x140/images/anime/7/60199.jpg?s=220017cfd0123715395d13fe64be558a,5.98
Hakkenden: Touhou Hakken Ibun,2144,TV,13,Jan 2013 - Mar 2013,112464,https://myanimelist.net/anime/15613/Hakkenden__Touhou_Hakken_Ibun,https://cdn.myanimelist.net/r/100x140/images/anime/13/43007.jpg?s=6b8275ef75baa27ab8eb3a85077504ba,7.39
Shinkon Gattai Godannar!! 2nd Season,4479,TV,13,Apr 2004 - Jun 2004,8375,https://myanimelist.net/anime/1104/Shinkon_Gattai_Godannar_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/7/50669.jpg?s=b6d92a1777957332ca1bfc413aa3e4e7,6.89
Anju to Zushioumaru,8578,Movie,1,Jul 1961 - Jul 1961,2217,https://myanimelist.net/anime/7610/Anju_to_Zushioumaru,https://cdn.myanimelist.net/r/100x140/images/anime/1458/113003.jpg?s=30b156abf15b72cda5c1101e936d2ca7,6.06
Ai to Shi,11314,Special,1,Mar 2013 - Mar 2013,708,https://myanimelist.net/anime/32150/Ai_to_Shi,https://cdn.myanimelist.net/r/100x140/images/anime/1358/114251.jpg?s=88aad17c31c4dae740af1b1255e16a18,5.34
Trouble Chocolate,6394,TV,20,Oct 1999 - Mar 2000,5643,https://myanimelist.net/anime/744/Trouble_Chocolate,https://cdn.myanimelist.net/r/100x140/images/anime/8/61293.jpg?s=7fb4845980d014925357b950061725c1,6.5
School Rumble: Ichi Gakki Hoshuu,1131,OVA,2,Dec 2005 - Dec 2005,58479,https://myanimelist.net/anime/517/School_Rumble__Ichi_Gakki_Hoshuu,https://cdn.myanimelist.net/r/100x140/images/anime/5/75489.jpg?s=7eb0f0e55ace39368889c4692eed58ee,7.71
Koukaku Kidoutai Arise: Alternative Architecture,2903,TV,10,Apr 2015 - Jun 2015,42299,https://myanimelist.net/anime/29325/Koukaku_Kidoutai_Arise__Alternative_Architecture,https://cdn.myanimelist.net/r/100x140/images/anime/5/72037.jpg?s=dd424cd28295f7e59948777107ffad2e,7.23
Gundam: G no Reconguista Movie V - Shisen wo Koete,3561,Movie,1,Aug 2022 - Aug 2022,1698,https://myanimelist.net/anime/43206/Gundam__G_no_Reconguista_Movie_V_-_Shisen_wo_Koete,https://cdn.myanimelist.net/r/100x140/images/anime/1876/125206.jpg?s=ca0dca945533cc38ab8204f51aae13e7,7.1
Zan Sayonara Zetsubou Sensei Bangaichi,997,OVA,2,Nov 2009 - Feb 2010,39456,https://myanimelist.net/anime/7044/Zan_Sayonara_Zetsubou_Sensei_Bangaichi,https://cdn.myanimelist.net/r/100x140/images/anime/9/17699.jpg?s=a61c1f1df7d2c95cc467467dc268ece0,7.76
Kämpfer für die Liebe,6711,Special,2,Mar 2011 - Mar 2011,60493,https://myanimelist.net/anime/10076/Kämpfer_für_die_Liebe,https://cdn.myanimelist.net/r/100x140/images/anime/2/29811.jpg?s=ddb9d2c121f78eb7ece85125ec4416ec,6.44
Lupin III vs. Detective Conan: The Movie,800,Movie,1,Dec 2013 - Dec 2013,31076,https://myanimelist.net/anime/18429/Lupin_III_vs_Detective_Conan__The_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/4/51663.jpg?s=36ef39795bf647469c689d390e8aa15e,7.86
Nobunagun,5495,TV,13,Jan 2014 - Mar 2014,64540,https://myanimelist.net/anime/19855/Nobunagun,https://cdn.myanimelist.net/r/100x140/images/anime/13/58141.jpg?s=d812025f7c8806ad74f18ea2df940162,6.67
Digimon Adventure:,6785,TV,67,Apr 2020 - Sep 2021,54781,https://myanimelist.net/anime/41074/Digimon_Adventure_,https://cdn.myanimelist.net/r/100x140/images/anime/1745/105558.jpg?s=8f34683740e46fa214b881ccdec3b148,6.42
Tao Hua Yuan Ji,10015,Movie,1,2006 - 2006,427,https://myanimelist.net/anime/31299/Tao_Hua_Yuan_Ji,https://cdn.myanimelist.net/r/100x140/images/anime/3/75288.jpg?s=942717362e3539ded7f6f29a3bfc4482,5.73
Megami Paradise,11357,OVA,2,Jun 1995 - Aug 1995,3233,https://myanimelist.net/anime/2528/Megami_Paradise,https://cdn.myanimelist.net/r/100x140/images/anime/2/41791.jpg?s=c0baa55c7e76715017787d54c6a289be,5.33
Kirin Gogo no Koucha x BanG Dream! Collab Animation CM Koukai!,9691,ONA,1,Dec 2019 - Dec 2019,345,https://myanimelist.net/anime/40838/Kirin_Gogo_no_Koucha_x_BanG_Dream_Collab_Animation_CM_Koukai,https://cdn.myanimelist.net/r/100x140/images/anime/1059/104677.jpg?s=db41499d105feea6241b7d47dabea348,5.81
Thunder,11160,Movie,1,1982 - 1982,887,https://myanimelist.net/anime/31259/Thunder,https://cdn.myanimelist.net/r/100x140/images/anime/8/75699.jpg?s=325fd89dbf397e505d863c17998495bb,5.39
Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,10985,TV,32,Apr 2014 - Feb 2015,561,https://myanimelist.net/anime/23511/Choubakuretsu_Ijigen_Menko_Battle__Gigant_Shooter_Tsukasa,https://cdn.myanimelist.net/r/100x140/images/anime/11/60675.jpg?s=04b0417424789b60ef749fdbfd6601f2,5.45
Sonny Boy,992,TV,12,Jul 2021 - Oct 2021,283013,https://myanimelist.net/anime/48849/Sonny_Boy,https://cdn.myanimelist.net/r/100x140/images/anime/1509/117149.jpg?s=109b728e658c177da07ad2c897d45fc6,7.77
